id;name;party;country;politics
uvdl;Ursula von der Leyen;CDU;Deutschland;1
lk;Lars Kingbell;SPD;Deutschland;1
nr;Nobert Röttgen;CDU;Deutschland;1
sw;Sarah Wagenknecht;Linke;Deutschland;1
cs;Constanze Stelzenmüller;NA;Deutschland;2
cl;Christian Lindner;FDP;Deutschland;1
ab;Annalena Baerbock;Grüne;Deutschland;1
ft;Frans Timmermans;NA;EU;1
am;Andrij Melnyk;NA;Ukraine;1
agl;Alexander Graf Lambsdorff;FDP;Deutschland;1
er;Egon Ramms;NA;Deutschland;2
rh;Robert Habeck;Grüne;Deutschland;1
rk;Roderich Kiesewetter;CDU;Deutschland;1
ks;Karl Schlögel;NA;Deutschland;2
lm;Ljudmyla Melnyk;NA;Ukraine;2
kd;Kristina Dunz;NA;Deutschland;2
el;Egils Levits;NA;Lettland;2
cm;Claudia Major;NA;Deutschland;2
kp;Katja Petrowskaja;NA;Ukraine;2
